市区町村コード,市区町村名,値,調査年,出典
01100,北海道 札幌市,2181,2020,国勢調査(2020)
01202,北海道 函館市,556,2020,国勢調査(2020)
01203,北海道 小樽市,89,2020,国勢調査(2020)
01204,北海道 旭川市,206,2020,国勢調査(2020)
01205,北海道 室蘭市,82,2020,国勢調査(2020)
01206,北海道 釧路市,132,2020,国勢調査(2020)
01207,北海道 帯広市,75,2020,国勢調査(2020)
01208,北海道 北見市,65,2020,国勢調査(2020)
01209,北海道 夕張市,1,2020,国勢調査(2020)
01210,北海道 岩見沢市,47,2020,国勢調査(2020)
01211,北海道 網走市,20,2020,国勢調査(2020)
01212,北海道 留萌市,5,2020,国勢調査(2020)
01213,北海道 苫小牧市,190,2020,国勢調査(2020)
01214,北海道 稚内市,7,2020,国勢調査(2020)
01215,北海道 美唄市,16,2020,国勢調査(2020)
01216,北海道 芦別市,7,2020,国勢調査(2020)
01217,北海道 江別市,118,2020,国勢調査(2020)
01218,北海道 赤平市,3,2020,国勢調査(2020)
01219,北海道 紋別市,13,2020,国勢調査(2020)
01220,北海道 士別市,11,2020,国勢調査(2020)
01221,北海道 名寄市,7,2020,国勢調査(2020)
01222,北海道 三笠市,2,2020,国勢調査(2020)
01223,北海道 根室市,17,2020,国勢調査(2020)
01224,北海道 千歳市,122,2020,国勢調査(2020)
01225,北海道 滝川市,25,2020,国勢調査(2020)
01226,北海道 砂川市,18,2020,国勢調査(2020)
01227,北海道 歌志内市,2,2020,国勢調査(2020)
01228,北海道 深川市,11,2020,国勢調査(2020)
01229,北海道 富良野市,18,2020,国勢調査(2020)
01230,北海道 登別市,42,2020,国勢調査(2020)
01231,北海道 恵庭市,86,2020,国勢調査(2020)
01233,北海道 伊達市,14,2020,国勢調査(2020)
01234,北海道 北広島市,80,2020,国勢調査(2020)
01235,北海道 石狩市,48,2020,国勢調査(2020)
01236,北海道 北斗市,129,2020,国勢調査(2020)
01303,北海道 当別町,22,2020,国勢調査(2020)
01304,北海道 新篠津村,2,2020,国勢調査(2020)
01331,北海道 松前町,48,2020,国勢調査(2020)
01332,北海道 福島町,78,2020,国勢調査(2020)
01333,北海道 知内町,21,2020,国勢調査(2020)
01334,北海道 木古内町,21,2020,国勢調査(2020)
01337,北海道 七飯町,56,2020,国勢調査(2020)
01343,北海道 鹿部町,10,2020,国勢調査(2020)
01345,北海道 森町,45,2020,国勢調査(2020)
01346,北海道 八雲町,16,2020,国勢調査(2020)
01347,北海道 長万部町,1,2020,国勢調査(2020)
01361,北海道 江差町,19,2020,国勢調査(2020)
01362,北海道 上ノ国町,21,2020,国勢調査(2020)
01363,北海道 厚沢部町,8,2020,国勢調査(2020)
01364,北海道 乙部町,26,2020,国勢調査(2020)
01367,北海道 奥尻町,1,2020,国勢調査(2020)
01370,北海道 今金町,0,2020,国勢調査(2020)
01371,北海道 せたな町,6,2020,国勢調査(2020)
01391,北海道 島牧村,1,2020,国勢調査(2020)
01392,北海道 寿都町,4,2020,国勢調査(2020)
01393,北海道 黒松内町,0,2020,国勢調査(2020)
01394,北海道 蘭越町,2,2020,国勢調査(2020)
01395,北海道 ニセコ町,8,2020,国勢調査(2020)
01396,北海道 真狩村,2,2020,国勢調査(2020)
01397,北海道 留寿都村,0,2020,国勢調査(2020)
01398,北海道 喜茂別町,0,2020,国勢調査(2020)
01399,北海道 京極町,2,2020,国勢調査(2020)
01400,北海道 倶知安町,5,2020,国勢調査(2020)
01401,北海道 共和町,3,2020,国勢調査(2020)
01402,北海道 岩内町,32,2020,国勢調査(2020)
01403,北海道 泊村,4,2020,国勢調査(2020)
01404,北海道 神恵内村,1,2020,国勢調査(2020)
01405,北海道 積丹町,2,2020,国勢調査(2020)
01406,北海道 古平町,2,2020,国勢調査(2020)
01407,北海道 仁木町,3,2020,国勢調査(2020)
01408,北海道 余市町,16,2020,国勢調査(2020)
01409,北海道 赤井川村,1,2020,国勢調査(2020)
01423,北海道 南幌町,11,2020,国勢調査(2020)
01424,北海道 奈井江町,2,2020,国勢調査(2020)
01425,北海道 上砂川町,0,2020,国勢調査(2020)
01427,北海道 由仁町,5,2020,国勢調査(2020)
01428,北海道 長沼町,9,2020,国勢調査(2020)
01429,北海道 栗山町,11,2020,国勢調査(2020)
01430,北海道 月形町,2,2020,国勢調査(2020)
01431,北海道 浦臼町,0,2020,国勢調査(2020)
01432,北海道 新十津川町,12,2020,国勢調査(2020)
01433,北海道 妹背牛町,0,2020,国勢調査(2020)
01434,北海道 秩父別町,0,2020,国勢調査(2020)
01436,北海道 雨竜町,0,2020,国勢調査(2020)
01437,北海道 北竜町,0,2020,国勢調査(2020)
01438,北海道 沼田町,3,2020,国勢調査(2020)
01452,北海道 鷹栖町,5,2020,国勢調査(2020)
01453,北海道 東神楽町,11,2020,国勢調査(2020)
01454,北海道 当麻町,9,2020,国勢調査(2020)
01455,北海道 比布町,3,2020,国勢調査(2020)
01456,北海道 愛別町,1,2020,国勢調査(2020)
01457,北海道 上川町,2,2020,国勢調査(2020)
01458,北海道 東川町,9,2020,国勢調査(2020)
01459,北海道 美瑛町,15,2020,国勢調査(2020)
01460,北海道 上富良野町,4,2020,国勢調査(2020)
01461,北海道 中富良野町,1,2020,国勢調査(2020)
01462,北海道 南富良野町,1,2020,国勢調査(2020)
01463,北海道 占冠村,1,2020,国勢調査(2020)
01464,北海道 和寒町,4,2020,国勢調査(2020)
01465,北海道 剣淵町,1,2020,国勢調査(2020)
01468,北海道 下川町,1,2020,国勢調査(2020)
01469,北海道 美深町,0,2020,国勢調査(2020)
01470,北海道 音威子府村,0,2020,国勢調査(2020)
01471,北海道 中川町,0,2020,国勢調査(2020)
01472,北海道 幌加内町,0,2020,国勢調査(2020)
01481,北海道 増毛町,3,2020,国勢調査(2020)
01482,北海道 小平町,4,2020,国勢調査(2020)
01483,北海道 苫前町,3,2020,国勢調査(2020)
01484,北海道 羽幌町,1,2020,国勢調査(2020)
01485,北海道 初山別村,0,2020,国勢調査(2020)
01486,北海道 遠別町,0,2020,国勢調査(2020)
01487,北海道 天塩町,1,2020,国勢調査(2020)
01511,北海道 猿払村,0,2020,国勢調査(2020)
01512,北海道 浜頓別町,0,2020,国勢調査(2020)
01513,北海道 中頓別町,0,2020,国勢調査(2020)
01514,北海道 枝幸町,0,2020,国勢調査(2020)
01516,北海道 豊富町,3,2020,国勢調査(2020)
01517,北海道 礼文町,0,2020,国勢調査(2020)
01518,北海道 利尻町,0,2020,国勢調査(2020)
01519,北海道 利尻富士町,0,2020,国勢調査(2020)
01520,北海道 幌延町,1,2020,国勢調査(2020)
01543,北海道 美幌町,9,2020,国勢調査(2020)
01544,北海道 津別町,1,2020,国勢調査(2020)
01545,北海道 斜里町,1,2020,国勢調査(2020)
01546,北海道 清里町,2,2020,国勢調査(2020)
01547,北海道 小清水町,0,2020,国勢調査(2020)
01549,北海道 訓子府町,0,2020,国勢調査(2020)
01550,北海道 置戸町,1,2020,国勢調査(2020)
01552,北海道 佐呂間町,0,2020,国勢調査(2020)
01555,北海道 遠軽町,5,2020,国勢調査(2020)
01559,北海道 湧別町,2,2020,国勢調査(2020)
01560,北海道 滝上町,0,2020,国勢調査(2020)
01561,北海道 興部町,1,2020,国勢調査(2020)
01562,北海道 西興部村,0,2020,国勢調査(2020)
